SN,Setting1,Setting2,Setting3,Setting4,Setting5,BDate,FileDate,TUT,Hrs/Day,NormDist x Values,NormDist y Values
11136000001961,4.77688E-05,0.122069185,0.156586123,3.98073E-05,0.721253135,,1/24/2017,69.78055556,#N/A,135.0641026,0.000540686
11136000002007,0.009333719,0.109115574,0.842655976,0.002107173,0.036785604,7/6/2015,10/4/2017,142.1072222,0.173090405,138.2051282,0.000554132
11136000002011,2.71056E-05,0.022771696,0.336615116,0.137581881,0.50300119,7/7/2015,8/15/2017,92.23194444,0.119781746,141.3461538,0.000567778
11136000002026,6.18788E-05,0.005938519,0.625527604,0.320506014,0.0479658,7/7/2015,12/19/2017,1508.325833,1.683399368,144.4871795,0.000581622
11136000002077,0.018541178,0.18547134,0.143321223,0.410745708,0.241917844,,8/10/2017,102.6094444,#N/A,147.6282051,0.000595662
11136000002105,0.011324779,0.302958026,0.567869139,0.08182607,0.036020303,,3/21/2018,330.0530556,#N/A,150.7692308,0.000609896
11136000002118,0.020824305,0.008433362,0.907885354,0.016655775,0.046203497,7/13/2015,7/13/2017,242.2916667,0.331452348,153.9102564,0.000624323
11136000002129,0.001461259,0.711459567,0.022367152,0.239899184,0.024817233,,7/18/2017,126.4130556,#N/A,157.0512821,0.00063894
11136000002140,0.098962499,0.651936486,0.135375816,0.003886194,0.109838199,,10/14/2016,344.5244444,#N/A,160.1923077,0.000653744
11136000002150,0.000569677,0.865726329,0.101058527,0.00784416,0.024805006,,10/7/2017,150.1825,#N/A,163.3333333,0.000668732
11136000002163,0.007860454,0.065321592,0.446443918,0.31882122,0.161552817,7/15/2015,5/1/2018,154.5005556,0.151322777,166.474359,0.000683902
11136000002183,0.039737983,0.641859013,0.277299287,0.003063875,0.038041966,7/16/2015,7/21/2017,261.5605556,0.35538119,169.6153846,0.000699251
11136000002208,0.01777246,0.296904775,0.614997564,0.023665256,0.046664769,7/16/2015,2/23/2018,115.1594444,0.120838871,172.7564103,0.000714774
11136000002211,0.00306095,0.015811398,0.919995074,0.03581749,0.025314548,7/16/2015,1/27/2018,514.2738889,0.55537137,175.8974359,0.000730469
11136000002289,0.015609936,0.857237965,0.088807509,0.002000684,0.036343054,,12/14/2017,325.8608333,#N/A,179.0384615,0.000746332
11136000002315,8.21952E-06,0.552756963,0.421340603,5.47968E-06,0.025888735,,1/23/2018,101.3847222,#N/A,182.1794872,0.000762358
11136000002321,0.004879441,0.37512443,0.589540413,0.009297822,0.021157895,7/22/2015,11/3/2017,420.5286111,0.503627079,185.3205128,0.000778544
11136000002323,0.00555436,0.337679542,0.619694443,3.69842E-05,0.037031309,7/22/2015,10/13/2017,82.61777778,0.101496041,188.4615385,0.000794886
11136000002338,0.008261305,0.691330737,0.284407181,0.006561397,0.009439044,,2/21/2018,826.6786111,#N/A,191.6025641,0.000811378
11136000002437,0.008701848,0.787187078,0.19340635,0.001160305,0.009543534,,11/4/2016,313.8541667,#N/A,194.7435897,0.000828016
11136000002440,0.073586887,0.524491554,0.361298178,0.029879737,0.010744105,7/25/2015,7/20/2017,1205.415556,1.660352005,197.8846154,0.000844795
11136000002505,0.001729385,0.096784668,0.774821389,0.123022761,0.003642356,7/29/2015,4/20/2018,994.0911111,0.998083445,201.025641,0.00086171
11136000002532,0.004536457,0.011798182,0.122863358,6.7853E-06,0.860795702,,9/19/2017,573.1344444,#N/A,204.1666667,0.000878755
11136000002533,3.26982E-06,0.284366032,0.383444707,0.316493058,0.015692934,,11/26/2017,254.8563889,#N/A,207.3076923,0.000895925
11136000002540,0.057254785,0.050690748,0.239277951,0.59455227,0.058224247,7/30/2015,6/8/2016,575.0611111,1.831404812,210.4487179,0.000913214
11136000002551,0.012553515,0.656205032,0.148057761,0.105638335,0.07754531,7/30/2015,10/17/2017,5973.625833,7.374846708,213.5897436,0.000930616
11136000002560,0.001853069,0.988037612,0.005888694,0,0.00422139,7/30/2015,7/19/2017,363.3611111,0.50466821,216.7307692,0.000948125
11136000002563,0.039428678,0.302221834,0.391373084,0.120398997,0.14657709,8/3/2015,11/18/2017,878.7033333,1.048571997,219.8717949,0.000965734
11136000002570,0.006240478,0.94893244,0.022532507,8.34846E-06,0.022282053,8/3/2015,8/18/2016,66.54583333,0.17466098,223.0128205,0.000983438
11136000002576,0.07395261,0.869845001,0.025548151,0.000197865,0.03045785,8/3/2015,1/20/2017,376.2394444,0.701939262,226.1538462,0.001001228
